year,loc_x,loc_y,estm_count
7,-76.6625,37.9501,71
0,-77.4689,36.816,10
1,-77.4689,36.816,34
2,-77.4689,36.816,25
3,-77.4689,36.816,7
4,-77.4689,36.816,1
5,-77.4689,36.816,9
6,-77.4689,36.816,29
7,-77.4689,36.816,19
0,-77.0687,37.344,0
1,-77.0687,37.344,0
2,-77.0687,37.344,4
3,-77.0687,37.344,4
4,-77.0687,37.344,4
5,-77.0687,37.344,1
6,-77.0687,37.344,0
7,-77.0687,37.344,3
0,-80.5583,37.1229,13
1,-80.5583,37.1229,45
2,-80.5583,37.1229,10
3,-80.5583,37.1229,8
4,-80.5583,37.1229,18
5,-80.5583,37.1229,8
6,-80.5583,37.1229,0
7,-80.5583,37.1229,4
0,-78.0883,37.6674,16
1,-78.0883,37.6674,10
2,-78.0883,37.6674,8
3,-78.0883,37.6674,12
4,-78.0883,37.6674,4
5,-78.0883,37.6674,6
6,-78.0883,37.6674,7
7,-78.0883,37.6674,21
0,-78.1033,38.9231,358
1,-78.1033,38.9231,46
2,-78.1033,38.9231,434
3,-78.1033,38.9231,926
4,-78.1033,38.9231,76
5,-78.1033,38.9231,225
6,-78.1033,38.9231,411
7,-78.1033,38.9231,109
0,-77.8937,36.8553,4
1,-77.8937,36.8553,8
2,-77.8937,36.8553,16
3,-77.8937,36.8553,17
4,-77.8937,36.8553,14
5,-77.8937,36.8553,14
6,-77.8937,36.8553,25
7,-77.8937,36.8553,9
0,-78.4545,38.6653,37
1,-78.4545,38.6653,187
2,-78.4545,38.6653,51
3,-78.4545,38.6653,32
4,-78.4545,38.6653,15
5,-78.4545,38.6653,28
6,-78.4545,38.6653,29
7,-78.4545,38.6653,141
0,-78.601,36.9933,16
1,-78.601,36.9933,7
2,-78.601,36.9933,10
3,-78.601,36.9933,25
4,-78.601,36.9933,28
5,-78.601,36.9933,43
6,-78.601,36.9933,-11
7,-78.601,36.9933,2
0,-79.6403,38.3237,0
1,-79.6403,38.3237,0
2,-79.6403,38.3237,0
3,-79.6403,38.3237,0
4,-79.6403,38.3237,0
5,-79.6403,38.3237,0
6,-79.6403,38.3237,0
7,-79.6403,38.3237,0
0,-80.8576,37.373000000000005,32
1,-80.8576,37.373000000000005,47
2,-80.8576,37.373000000000005,288
3,-80.8576,37.373000000000005,308
4,-80.8576,37.373000000000005,26
5,-80.8576,37.373000000000005,62
6,-80.8576,37.373000000000005,313
7,-80.8576,37.373000000000005,76
0,-77.0436,37.4418,37
1,-77.0436,37.4418,15
2,-77.0436,37.4418,17
3,-77.0436,37.4418,12
4,-77.0436,37.4418,13
5,-77.0436,37.4418,13
6,-77.0436,37.4418,22
7,-77.0436,37.4418,55
0,-80.7255,36.9342,158
1,-80.7255,36.9342,48
2,-80.7255,36.9342,260
3,-80.7255,36.9342,740
4,-80.7255,36.9342,40
5,-80.7255,36.9342,47
6,-80.7255,36.9342,252
7,-80.7255,36.9342,71
0,-77.3473,38.0533,29
1,-77.3473,38.0533,46
2,-77.3473,38.0533,51
3,-77.3473,38.0533,29
4,-77.3473,38.0533,47
5,-77.3473,38.0533,52
6,-77.3473,38.0533,65
7,-77.3473,38.0533,67
0,-76.0435,36.7335,219
1,-76.0435,36.7335,44
2,-76.0435,36.7335,14
3,-76.0435,36.7335,231
4,-76.0435,36.7335,49
5,-76.0435,36.7335,-8
6,-76.0435,36.7335,63
7,-76.0435,36.7335,72
0,-79.7253,37.3866,44
1,-79.7253,37.3866,54
2,-79.7253,37.3866,65
3,-79.7253,37.3866,94
4,-79.7253,37.3866,87
5,-79.7253,37.3866,92
6,-79.7253,37.3866,104
7,-79.7253,37.3866,119
0,-79.4196,36.6716,10
1,-79.4196,36.6716,71
2,-79.4196,36.6716,18
3,-79.4196,36.6716,56
4,-79.4196,36.6716,9
5,-79.4196,36.6716,24
6,-79.4196,36.6716,101
7,-79.4196,36.6716,18
0,-77.2604,38.6823,113
1,-77.2604,38.6823,280
2,-77.2604,38.6823,1731
3,-77.2604,38.6823,190
4,-77.2604,38.6823,284
5,-77.2604,38.6823,168
6,-77.2604,38.6823,824
7,-77.2604,38.6823,2232
0,-79.8779,37.4167,32
1,-79.8779,37.4167,20
2,-79.8779,37.4167,78
3,-79.8779,37.4167,172
4,-79.8779,37.4167,24
5,-79.8779,37.4167,21
6,-79.8779,37.4167,51
7,-79.8779,37.4167,207
0,-76.8308,36.866,34
1,-76.8308,36.866,15
2,-76.8308,36.866,10
3,-76.8308,36.866,9
4,-76.8308,36.866,20
5,-76.8308,36.866,28
6,-76.8308,36.866,72
7,-76.8308,36.866,73
0,-77.7022,37.6015,25
1,-77.7022,37.6015,6
2,-77.7022,37.6015,1
3,-77.7022,37.6015,3
4,-77.7022,37.6015,5
5,-77.7022,37.6015,3
6,-77.7022,37.6015,7
7,-77.7022,37.6015,23
0,-78.3319,39.264,130
1,-78.3319,39.264,196
2,-78.3319,39.264,167
3,-78.3319,39.264,214
4,-78.3319,39.264,202
5,-78.3319,39.264,210
6,-78.3319,39.264,189
7,-78.3319,39.264,210
0,-81.1501,37.1521,10
1,-81.1501,37.1521,13
2,-81.1501,37.1521,4
3,-81.1501,37.1521,12
4,-81.1501,37.1521,30
5,-81.1501,37.1521,2
6,-81.1501,37.1521,16
7,-81.1501,37.1521,23
0,-77.3706,37.7668,129
1,-77.3706,37.7668,107
2,-77.3706,37.7668,139
3,-77.3706,37.7668,141
4,-77.3706,37.7668,192
5,-77.3706,37.7668,127
6,-77.3706,37.7668,148
7,-77.3706,37.7668,247
0,-76.3024,36.6778,190
1,-76.3024,36.6778,40
2,-76.3024,36.6778,25
3,-76.3024,36.6778,226
4,-76.3024,36.6778,12
5,-76.3024,36.6778,21
6,-76.3024,36.6778,52
7,-76.3024,36.6778,57
0,-76.8665,37.9185,3
1,-76.8665,37.9185,1
2,-76.8665,37.9185,11
3,-76.8665,37.9185,7
4,-76.8665,37.9185,23
5,-76.8665,37.9185,13
6,-76.8665,37.9185,4
7,-76.8665,37.9185,4
0,-77.2875,36.8457,9
1,-77.2875,36.8457,8
2,-77.2875,36.8457,8
3,-77.2875,36.8457,13
4,-77.2875,36.8457,7
5,-77.2875,36.8457,10
6,-77.2875,36.8457,11
7,-77.2875,36.8457,12
0,-78.3261,38.4879,36
1,-78.3261,38.4879,13
2,-78.3261,38.4879,7
3,-78.3261,38.4879,4
4,-78.3261,38.4879,6
5,-78.3261,38.4879,13
6,-78.3261,38.4879,22
7,-78.3261,38.4879,28
0,-76.5747,37.6395,8
1,-76.5747,37.6395,8
2,-76.5747,37.6395,4
3,-76.5747,37.6395,0
4,-76.5747,37.6395,4
5,-76.5747,37.6395,8
6,-76.5747,37.6395,16
7,-76.5747,37.6395,23
0,-79.5709,38.1948,8
1,-79.5709,38.1948,7
2,-79.5709,38.1948,26
3,-79.5709,38.1948,20
4,-79.5709,38.1948,3
5,-79.5709,38.1948,3
6,-79.5709,38.1948,0
7,-79.5709,38.1948,26
0,-77.1011,38.8786,161
1,-77.1011,38.8786,245
2,-77.1011,38.8786,106
3,-77.1011,38.8786,35
4,-77.1011,38.8786,51
5,-77.1011,38.8786,83
6,-77.1011,38.8786,135
7,-77.1011,38.8786,270
0,-78.0029,37.0821,10
1,-78.0029,37.0821,6
2,-78.0029,37.0821,3
3,-78.0029,37.0821,7
4,-78.0029,37.0821,4
5,-78.0029,37.0821,16
6,-78.0029,37.0821,30
7,-78.0029,37.0821,27
0,-78.4417,38.2504,12
1,-78.4417,38.2504,7
2,-78.4417,38.2504,8
3,-78.4417,38.2504,12
4,-78.4417,38.2504,10
5,-78.4417,38.2504,12
6,-78.4417,38.2504,22
7,-78.4417,38.2504,17
0,-79.9868,37.7786,0
1,-79.9868,37.7786,0
2,-79.9868,37.7786,0
3,-79.9868,37.7786,0
4,-79.9868,37.7786,0
5,-79.9868,37.7786,0
6,-79.9868,37.7786,0
7,-79.9868,37.7786,0
0,-81.6387,37.1909,503
1,-81.6387,37.1909,131
2,-81.6387,37.1909,163
3,-81.6387,37.1909,166
4,-81.6387,37.1909,268
5,-81.6387,37.1909,441
6,-81.6387,37.1909,989
7,-81.6387,37.1909,452
0,-78.4856,38.0374,26
1,-78.4856,38.0374,16
2,-78.4856,38.0374,6
3,-78.4856,38.0374,8
